"nrricode","year","forest","count","count1","count2","count3","samples","ave","abbrev"
300,1995,"9020",31,21,5,5,385,0.0805194805194805,"RUGR"
300,1996,"9090",65,39,11,15,482,0.134854771784232,"RUGR"
300,2000,"9020",29,12,10,7,375,0.0773333333333333,"RUGR"
300,2001,"9090",10,4,2,4,491,0.0203665987780041,"RUGR"
300,2005,"9020",19,7,6,6,383,0.0496083550913838,"RUGR"
300,2006,"9090",4,1,1,2,475,0.00842105263157895,"RUGR"
300,2010,"9020",9,5,3,1,361,0.0249307479224377,"RUGR"
300,2011,"9090",34,14,12,8,538,0.0631970260223048,"RUGR"
300,2008,"9030",2,2,0,0,361,0.00554016620498615,"RUGR"
300,2006,"9020",24,15,4,5,388,0.0618556701030928,"RUGR"
300,1996,"9030",7,4,2,1,391,0.0179028132992327,"RUGR"
300,1998,"9020",15,9,4,2,387,0.0387596899224806,"RUGR"
300,2001,"9030",10,4,5,1,390,0.0256410256410256,"RUGR"
300,2003,"9020",77,48,19,10,387,0.198966408268734,"RUGR"
300,2006,"9030",5,4,0,1,391,0.0127877237851662,"RUGR"
300,2008,"9020",98,67,11,20,380,0.257894736842105,"RUGR"
300,2011,"9030",1,0,0,1,383,0.00261096605744125,"RUGR"
300,2009,"9090",44,19,10,15,553,0.0795660036166365,"RUGR"
300,1996,"9020",66,41,10,15,391,0.168797953964194,"RUGR"
300,1997,"9090",52,31,16,5,487,0.106776180698152,"RUGR"
300,2001,"9020",20,12,4,4,389,0.051413881748072,"RUGR"
300,2002,"9090",30,23,4,3,489,0.0613496932515337,"RUGR"
300,2000,"9030",1,1,0,0,393,0.00254452926208651,"RUGR"
300,2007,"9090",6,5,0,1,487,0.0123203285420945,"RUGR"
300,1995,"9090",6,5,0,1,488,0.0122950819672131,"RUGR"
300,1997,"9030",4,4,0,0,393,0.0101781170483461,"RUGR"
300,2000,"9090",9,3,2,4,484,0.0185950413223141,"RUGR"
300,2002,"9030",3,3,0,0,393,0.00763358778625954,"RUGR"
300,2005,"9090",9,6,1,2,485,0.0185567010309278,"RUGR"
300,2007,"9030",2,0,2,0,389,0.0051413881748072,"RUGR"
300,2010,"9090",2,1,0,1,535,0.00373831775700935,"RUGR"
300,2012,"9030",2,1,0,1,362,0.00552486187845304,"RUGR"
300,1995,"9030",6,5,0,1,390,0.0153846153846154,"RUGR"
300,1997,"9020",96,47,27,22,390,0.246153846153846,"RUGR"
300,2010,"9030",8,7,0,1,350,0.0228571428571429,"RUGR"
300,2002,"9020",86,54,14,18,390,0.220512820512821,"RUGR"
300,2005,"9030",0,0,0,0,0,0,"RUGR"
300,2007,"9020",14,11,1,2,378,0.037037037037037,"RUGR"
300,2004,"9090",32,18,8,6,470,0.0680851063829787,"RUGR"
300,2008,"9090",38,21,7,10,557,0.0682226211849192,"RUGR"
300,2003,"9030",9,6,2,1,393,0.0229007633587786,"RUGR"
300,2009,"9020",88,49,12,27,381,0.230971128608924,"RUGR"
300,1998,"9030",18,12,0,6,383,0.0469973890339426,"RUGR"
300,2004,"9020",68,40,13,15,381,0.178477690288714,"RUGR"
300,1999,"9090",13,4,0,9,487,0.026694045174538,"RUGR"
300,2004,"9030",4,2,2,0,395,0.010126582278481,"RUGR"
300,2012,"9090",24,6,7,11,556,0.0431654676258993,"RUGR"
300,1999,"9030",13,12,0,1,396,0.0328282828282828,"RUGR"
300,2003,"9090",23,12,6,5,491,0.0468431771894094,"RUGR"
300,1999,"9020",28,11,6,11,385,0.0727272727272727,"RUGR"
300,2009,"9030",3,2,1,0,390,0.00769230769230769,"RUGR"
300,1998,"9090",12,8,1,3,486,0.0246913580246914,"RUGR"
393,2008,"9030",31,19,3,9,361,0.0858725761772853,"HAWO"
393,2008,"9090",58,16,12,30,557,0.104129263913824,"HAWO"
393,2001,"9030",9,3,5,1,390,0.0230769230769231,"HAWO"
393,2006,"9030",15,10,2,3,391,0.0383631713554987,"HAWO"
393,2006,"9090",11,4,4,3,475,0.0231578947368421,"HAWO"
393,2008,"9020",44,23,6,15,380,0.115789473684211,"HAWO"
393,2011,"9090",13,3,5,5,538,0.0241635687732342,"HAWO"
393,1996,"9020",11,2,3,6,391,0.0281329923273657,"HAWO"
393,2000,"9020",26,8,6,12,375,0.0693333333333333,"HAWO"
393,2001,"9020",21,10,3,8,389,0.0539845758354756,"HAWO"
393,2005,"9020",30,10,3,17,383,0.0783289817232376,"HAWO"
393,2000,"9030",24,13,3,8,393,0.0610687022900763,"HAWO"
393,2010,"9020",9,3,2,4,361,0.0249307479224377,"HAWO"
393,2009,"9030",16,5,2,9,390,0.041025641025641,"HAWO"
393,1995,"9090",5,0,0,5,488,0.0102459016393443,"HAWO"
393,1995,"9020",8,3,0,5,385,0.0207792207792208,"HAWO"
393,2000,"9090",31,19,3,9,484,0.0640495867768595,"HAWO"
393,2009,"9090",26,12,2,12,553,0.0470162748643761,"HAWO"
393,2005,"9090",21,10,3,8,485,0.0432989690721649,"HAWO"
393,1996,"9090",8,6,1,1,482,0.016597510373444,"HAWO"
393,2009,"9020",21,9,1,11,381,0.0551181102362205,"HAWO"
393,2007,"9030",38,14,10,14,389,0.0976863753213368,"HAWO"
393,1995,"9030",3,0,2,1,390,0.00769230769230769,"HAWO"
393,1997,"9090",10,3,3,4,487,0.0205338809034908,"HAWO"
393,1996,"9030",11,4,2,5,391,0.0281329923273657,"HAWO"
393,2005,"9030",10,5,4,1,389,0.025706940874036,"HAWO"
393,2011,"9030",12,6,2,4,383,0.031331592689295,"HAWO"
393,2010,"9030",3,1,0,2,350,0.00857142857142857,"HAWO"
393,2007,"9020",33,11,5,17,378,0.0873015873015873,"HAWO"
393,1999,"9090",19,10,4,5,487,0.0390143737166324,"HAWO"
393,2003,"9030",23,9,6,8,393,0.0585241730279898,"HAWO"
393,2004,"9090",32,15,2,15,470,0.0680851063829787,"HAWO"
393,1998,"9030",24,13,5,6,383,0.0626631853785901,"HAWO"
393,2001,"9090",15,11,2,2,491,0.0305498981670061,"HAWO"
393,2012,"9090",26,9,7,10,556,0.0467625899280576,"HAWO"
393,2007,"9090",28,9,4,15,487,0.0574948665297741,"HAWO"
393,2006,"9020",30,11,5,14,388,0.077319587628866,"HAWO"
393,2010,"9090",25,12,4,9,535,0.0467289719626168,"HAWO"
393,1997,"9030",14,7,4,3,393,0.0356234096692112,"HAWO"
