"location","week.lu","variable","V1"
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.albopictus",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.atropalpus",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.canadensis",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.dorsalis",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.nigromaculis",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.sollicitans",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.sticticus",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.stimulans",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.triseriatus",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.trivittatus",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.vexans",0
"BK-Cedar Falls (Hartman Reserve)",20,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",20,"Anopheles.barberi",0
"BK-Cedar Falls (Hartman Reserve)",20,"Anopheles.punctipennis",0
"BK-Cedar Falls (Hartman Reserve)",20,"Anopheles.quadrimaculatus",0
"BK-Cedar Falls (Hartman Reserve)",20,"Anopheles.walkeri",0
"BK-Cedar Falls (Hartman Reserve)",20,"Coquilletidia.perturbans",0
"BK-Cedar Falls (Hartman Reserve)",20,"Culex.erraticus",0
"BK-Cedar Falls (Hartman Reserve)",20,"Culex.pipiens.group",0
"BK-Cedar Falls (Hartman Reserve)",20,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",20,"Culex.tarsalis",0
"BK-Cedar Falls (Hartman Reserve)",20,"Culex.territans",0
"BK-Cedar Falls (Hartman Reserve)",20,"Culiseta.impatiens",0
"BK-Cedar Falls (Hartman Reserve)",20,"Culiseta.inornata",0
"BK-Cedar Falls (Hartman Reserve)",20,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",20,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",20,"Orthopodomyia.signifera",0
"BK-Cedar Falls (Hartman Reserve)",20,"Psorophora.ciliata",0
"BK-Cedar Falls (Hartman Reserve)",20,"Psorophora.columbiae",0
"BK-Cedar Falls (Hartman Reserve)",20,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",20,"Psorophora.ferox",0
"BK-Cedar Falls (Hartman Reserve)",20,"Psorophora.horrida",0
"BK-Cedar Falls (Hartman Reserve)",20,"Psorophora.signipennis",0
"BK-Cedar Falls (Hartman Reserve)",20,"Uranotaenia.sapphirina",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.albopictus",0
