"site","year","specie","count","prop"
"Cfall",1994,"Aedes.albopictus",0,0
"Cfall",1994,"Aedes.atropalpus",0,0
"Cfall",1994,"Aedes.canadensis",0,0
"Cfall",1994,"Aedes.dorsalis",17,0.00768882858435097
"Cfall",1994,"Aedes.hendersoni",0,0
"Cfall",1994,"Aedes.japonicus",0,0
"Cfall",1994,"Aedes.nigromaculis",1,0.000452284034373587
"Cfall",1994,"Aedes.sollicitans",1,0.000452284034373587
"Cfall",1994,"Aedes.stimulans",0,0
"Cfall",1994,"Aedes.sticticus",0,0
"Cfall",1994,"Aedes.triseriatus",0,0
"Cfall",1994,"Aedes.trivittatus",16,0.00723654454997739
"Cfall",1994,"Aedes.vexans",1986,0.898236092265943
"Cfall",1994,"Aedes.vexans.nipponii",0,0
"Cfall",1994,"Anopheles.barberi",0,0
"Cfall",1994,"Anopheles.punctipennis",8,0.00361827227498869
"Cfall",1994,"Anopheles.quadrimaculatus",1,0.000452284034373587
"Cfall",1994,"Anopheles.walkeri",0,0
"Cfall",1994,"Coquilletidia.perturbans",10,0.00452284034373587
"Cfall",1994,"Culex.erraticus",0,0
"Cfall",1994,"Culex.pipiens.group",163,0.0737222976028946
"Cfall",1994,"Culex.salinarius",0,0
"Cfall",1994,"Culex.tarsalis",5,0.00226142017186793
"Cfall",1994,"Culex.territans",0,0
"Cfall",1994,"Culiseta.impatiens",0,0
"Cfall",1994,"Culiseta.inornata",0,0
"Cfall",1994,"Culiseta.minnesotae",0,0
"Cfall",1994,"Orthopodomyia.alba",0,0
"Cfall",1994,"Orthopodomyia.signifera",0,0
"Cfall",1994,"Psorophora.ciliata",0,0
"Cfall",1994,"Psorophora.columbiae",0,0
"Cfall",1994,"Psorophora.cyanescens",0,0
"Cfall",1994,"Psorophora.ferox",0,0
"Cfall",1994,"Psorophora.horrida",0,0
"Cfall",1994,"Psorophora.signipennis",0,0
"Cfall",1994,"Uranotaenia.sapphirina",3,0.00135685210312076
"Cfall",1995,"Aedes.albopictus",0,0
"Cfall",1995,"Aedes.atropalpus",0,0
"Cfall",1995,"Aedes.canadensis",1,0.000644329896907216
"Cfall",1995,"Aedes.dorsalis",0,0
"Cfall",1995,"Aedes.hendersoni",0,0
"Cfall",1995,"Aedes.japonicus",0,0
"Cfall",1995,"Aedes.nigromaculis",0,0
